brisker	2
briskly	2
broad	5
broke	19
broken	13
brooch	2
brood	2
brook	8
broom	2
broomstick	1
broth	6
brother	41
brothers	36
brought	91
brown	8
bruised	1
brush	1
brushed	2
brushes	1
brushwood	2
brute	1
bucket	1
bucketful	2
buckets	2
budded	1
buffetings	1
build	2
built	8
bundle	2
bundles	1
bung	2
burden	2
buried	5
burn	4
burning	13
burnished	1
burns	1
burnt	9
burst	6
bury	5
bush	9
bushes	3
bushy	1
busily	1
business	11
bustle	1
bustled	1
busy	2
busybody	1
but	895
butcher	5
butchers	1
butler	3
butter	10
buttered	1
butterflies	1
buttons	7
buy	11
buyers	1
buzz	1
buzzed	1
by	291
byandby	1
byways	1
c	2
cabbageleaf	1
cabbages	1
cabin	6
cage	15
cages	4
cake	13
cakes	8
calendar	1
calf	16
call	3
called	96
calling	5
calls	1
calm	1
calves	1
came	460
can	145
candle	2
cannot	49
cant	11
cap	17
capered	1
capering	2
capital	3
captain	1
carcase	1
cardinals	1
cardplaying	1
cards	2
care	56
cared	2
careful	2
carefully	6
carelessly	1
carelessness	1
cares	1
caring	1
carpenter	2
carriage	13
carried	43
carries	1
carry	40
carrying	7
cart	17
carter	18
carts	1
carve	1
case	6
cask	12
casket	1
casketopen	1
casks	2
cast	5
castle	82
cat	66
catch	8
catches	2
catching	3
catherine	16
catherines	1
cats	6
catskin	15
caught	25
cauldron	2
cause	5
caused	8
cave	5
cavern	2
caves	1
caw	2
cease	2
ceased	1
ceasing	1
celebrate	2
celebrated	6
cellar	21
cellarful	1
ceremony	2
certain	7
certaini	1
certainly	14
chafed	2
chaffinch	2
chaffinchs	1
chain	10
chains	2
chair	8
chairs	3
chalk	1
challenge	1
chamber	18
chamberlain	3
chamberlains	1
chambers	2
chance	5
chanced	3
chandelier	4
change	7
changed	12
chanticleer	33
chap	1
chapel	1
charge	1
charging	1
charm	5
charming	2
chase	1
chat	2
chatter	2
chattering	2
chatting	2
cheap	2
cheated	2
cheating	1
cheek	2
cheeks	4
cheer	2
cheerful	3
cheerfully	1
cheese	15
cheeses	2
cherrytree	1
chest	7
chestnut	2
chestnuthorse	1
chests	2
chicken	5
chickens	6
chicks	1
chief	1
child	79
childless	1
children	78
childs	4
chilly	1
chimney	4
chimneys	2
chin	1
chirping	3
choked	5
choose	5
chop	2
chose	1
chosen	2
christendom	1
christened	2
christening	4
christmastime	1
chuckle	1
chuckled	1
church	12
churchyard	1
cinder	2
cindercake	2
cinderella	1
cinders	2
circle	6
circled	1
circulate	1
cistern	1
city	11
civil	1
civilly	1
clack	6
clad	1
clambered	2
clap	1
clapped	2
clapping	1
class	1
clatter	3
clave	1
claw	4
claws	1
clean	9
cleaned	2
clear	8
cleared	1
cleft	1
clerks	1
clever	26
cleverly	1
cleverness	2
click	6
climb	3
climbed	13
climbing	2
clip	1
cloak	23
clock	4
clockcase	3
clod	1
clods	1
clogs	1
close	28
closed	7
closet	5
cloth	6
clothed	1
clothes	30
clothing	2
cloud	2
clouds	3
club	1
clumsily	2
clumsy	4
clung	1
clutched	2
coach	6
coachhouse	1
coachman	2
coal	7
coals	4
coarse	1
coast	1
coat	17
cobbler	1
cock	16
cockadoodledoo	2
cockcrow	1
coffin	6
coffins	1
coiled	1
coin	1
cold	15
collapsed	1
collar	4
collected	2
colour	1
colours	3
comb	4
combd	3
combed	2
combing	2
combs	1
come	187
comely	1
comer	1
comes	27
comest	1
comfort	2
comfortably	3
comforted	10
comical	1
coming	26
command	2
commanded	2
commanderinchief	1
commands	3
common	3
companies	1
companion	5
companions	2
company	8
compared	2
compassion	1
compassionate	2
compelled	2
complain	1
complained	3
comrade	6
comrades	3
concealed	4
conceited	1
conceive	1
concern	1
concerned	1
concert	2
condemned	3
condition	3
conducted	1
confessed	2
confidential	1
confined	1
conquer	1
conquered	1
conscience	1
conscious	1
consecrated	1
consent	2
consented	7
consequence	1
considerably	1
consideration	1
considered	2
constable	1
constantly	1
constraint	1
consulted	1
consumed	1
contained	1
containing	1
contemptuously	1
content	3
contented	3
contentedly	2
continually	6
continue	2
continued	6
contrast	1
contrive	5
control	1
conversation	3
conveyed	1
cook	62
cooked	8
cooking	6
cooks	1
cool	7
coolly	1
copperred	1
copse	1
cord	6
cords	1
corn	6
corner	22
cost	9
costly	4
cottage	18
cottagedoor	1
couch	4
coughing	1
could	260
council	1
counsel	13
counselled	1
count	2
counted	3
counteract	1
countless	1
countries	1
country	26
countryman	14
counts	2
couple	3
courage	2
course	3
court	36
courteously	2
courtiers	4
courtyard	10
cousin	6
cover	4
covered	10
covering	1
cow	28
coward	1
cowardly	1
cowbeef	1
cowherd	7
cowhouse	1
cowhouses	1
cowkeep	1
cows	9
coxcomb	1
crabb	4
crabs	1
crabshells	1
crack	3
cracked	2
crackle	1
craft	5
craftily	1
craftsmen	1
crafty	2
crash	2
crawl	1
crawled	4
creature	8
creatures	3
credentials	1
creep	2
creeping	3
crept	19
crevice	1
crew	1
cried	153
cries	2
croak	2
croaked	3
croaking	3
crookshanks	1
cross	2
crossed	3
crosses	1
crossing	1
crosslegged	1
crossroads	1
crossways	1
crouched	1
crowd	4
crowed	3
crown	2
crowned	1
crowns	2
crows	1
cruel	3
cruelty	2
crumbled	1
crumbs	3
crumbstealer	1
crushed	3
crutches	1
cry	11
crying	17
crystal	1
cudgel	3
cudgelled	1
cuffings	1
cunning	3
cunningest	1
cup	14
cupboard	3
cups	1
cur	1
curdken	8
curdkens	5
cure	3
cured	1
curiosity	2
curious	2
curl	1
curld	3
curled	2
curling	3
curse	1
cursed	1
cursing	1
curtain	1
curtains	2
curtsied	2
cushion	2
custom	3
customer	1
cut	78
cutting	1
cuttingboard	3
cuttingknife	1
daily	3
daintily	1
dainty	5
dale	2
dales	3
dame	6
dance	21
danced	23
danceyou	1
dancing	17
danger	5
dangerous	3
dangerously	1
dangling	2
dare	9
dared	8
dares	1
dark	24
darker	1
darkest	1
darkgrey	1
darkness	4
darling	5
darted	1
darting	2
dash	1
dashed	1
daughter	89
daughters	16
dawdle	1
dawn	2
dawned	4
day	184
daybreak	6
daylight	6
days	25
daytime	1
dazzling	3
dead	58
deadly	1
deal	12
dear	57
dearer	1
dearest	10
dearly	6
dearth	2
death	26
deceive	1
deceived	2
decent	1
decide	1
decided	1
decision	1
deck	1
decked	1
declare	1
declared	3
decree	1
deed	2
deeds	2
deep	18
deeper	4
deepest	2
deeply	2
deer	5
defended	1
degrees	1
delay	2
delayed	1
delicate	3
delicious	1
delight	2
delighted	8
delightful	3
delightfully	1
delivered	1
deliverer	2
demand	1
demanded	1
den	4
denounce	1
deny	2
depart	1
departed	1
departure	1
depend	1
depended	1
depthhast	1
derry	1
descend	4
descended	2
describing	1
desert	2
deserted	1
deserve	3
deserved	1
deserves	3
design	1
desire	11
desired	4
despair	2
despised	1
destroyed	1
detail	1
determined	4
devil	4
devour	6
devoured	5
dew	1
dewdrop	1
diamonds	7
did	210
die	21
died	25
different	4
difficult	2
difficulty	2
dig	5
diligent	1
dim	3
dininghall	1
dinner	14
dinners	1
dinnertime	2
dipped	1
direct	1
direction	2
directly	3
dirt	2
dirtiest	1
dirty	13
dirtylooking	1
disappeared	5
discern	1
disclosed	1
discourse	1
discover	4
discovered	3
disenchanted	2
disfigure	1
disguises	1
disgusted	1
dish	21
disheartened	1
dishes	7
dishful	1
dislike	1
dismal	1
dismay	1
dismissal	2
dismissed	2
dismounted	1
dispatched	1
disposed	1
disposition	1
dispute	1
disputed	1
disreputable	1
distance	4
distinguished	1
distress	3
district	2
disturbing	1
dived	2
divide	1
divided	1
divine	1
do	285
dobbin	1
doctor	18
doctored	1
does	30
dog	40
dogs	16
doing	20
dolefully	1
done	84
donkey	2
dont	29
doom	2
door	132
doors	6
dost	3
doublet	2
doubt	6
dough	2
dove	14
dovehe	1
doves	9
down	324
downhearted	1
downstairs	3
dowry	1
drag	4
dragged	7
dragging	4
dragon	14
drags	1
drain	2
drank	19
draught	15
draw	24
drawer	2
drawers	1
drawing	4
drawn	4
dread	4
dreaded	2
dreadful	4
dreadfully	4
dream	11
dreaming	2
dreams	1
dreamt	2
dreary	2
dress	19
dressed	12
dresses	4
dressesof	1
dressing	1
drew	36
drink	47
drinking	5
dripping	1
drive	7
driven	5
driving	7
droll	1
drolllooking	1
drop	10
dropped	8
dropping	1
drops	3
drove	26
drown	2
drowned	6
drums	1
drunk	3
drunken	1
dry	11
ducat	2
ducats	2
duck	20
ducks	5
dug	4
dukes	2
dull	1
dumb	1
dummling	22
dumpling	1
dungeon	2
dunghill	1
during	6
dusky	1
dusty	1
duty	1
dwarf	60
dwarfs	19
dwell	2
dwelling	3
dwelt	4
dying	1
each	77
eager	2
eagerly	2
eagerness	1
eagle	3
ear	9
earliest	1
earls	2
early	21
earn	11
earned	1
earnestly	1
earning	1
earnings	1
ears	12
earth	16
earthenware	3
ease	7
easeone	1
easily	10
east	2
easy	15
eat	93
eaten	28
eaters	1
eating	14
eats	2
ebony	4
ecclesiastics	1
echoed	1
edge	5
efforts	1
egg	7
eggbreak	1
eggs	9
eggshells	1
eight	8
either	10
elbow	1
elbows	1
elder	6
eldest	31
eldestand	1
eleven	6
eleventh	2
elf	1
ells	1
else	21
elsie	27
elsies	1
elves	2
embarked	1
embassies	1
embers	1
embrace	1
embraced	2
embroidered	1
emperor	11
employed	1
emptied	5
empty	13
emptying	1
enable	1
enchanted	9
enchantment	6
enchantress	15
end	39
ended	2
ending	1
endless	1
ends	1
endured	1
enemies	2
enemy	6
enemys	3
engaged	2
engraved	1
enjoy	9
enjoyed	2
enormous	1
enough	52
enraged	1
entangled	1
enter	4
entered	11
entering	1
entertained	1
entice	3
enticed	1
entire	3
entirely	3
entrance	2
entreat	1
entreated	3
entreaties	2
entreaty	1
envied	1
envious	1
envy	3
equal	2
equally	2
equipped	2
errand	1
escape	8
escaped	5
espied	2
espying	1
esteemed	1
even	32
evening	68
event	1
eventide	1
ever	28
everincreasing	1
every	72
everybody	5
everyone	14
everything	43
everywhere	6
evil	12
exactly	5
excellence	1
excellent	2
exception	1
exchange	2
exchanged	1
excites	1
exclaimed	1
excuse	3
excuses	2
executed	1
exerted	1
expatiated	1
expected	3
expedient	1
experience	1
explain	1
eye	2
eyes	63
face	42
faces	1
fact	1
fail	2
fainting	1
fair	13
fairer	1
fairest	7
fairies	7
fairly	1
fairy	21
fairys	4
faith	1
faithful	17
faithfully	3
faithfulness	1
falada	16
faladas	2
fall	38
fallen	17
falling	3
falls	3
false	11
famed	1
familiar	2
family	2
famine	1
famous	2
fancied	2
fancies	1
fancy	1
fanned	1
far	30
fare	7
fared	3
faring	1
farmer	6
farmyard	1
farther	18
farthings	1
fascinated	1
fast	71
fasten	1
fastened	4
faster	6
fastest	1
fat	25
fate	5
fated	1
father	161
fathers	22
fatigue	3
fatten	1
fattening	1
fault	1
favour	5
favoured	1
favourite	1
fear	27
feared	2
fearfully	1
fears	1
feast	34
feasted	1
feasting	2
feather	8
feathers	11
fed	1
feeble	1
feed	4
feeding	1
feel	22
feeling	4
feels	1
feet	23
feigning	1
fell	130
felled	3
fellow	25
fellows	3
felt	31
ferry	1
festival	2
fetch	28
fetched	11
fetching	2
few	13
fewer	1
fickle	1
fiddle	9
fiddler	10
field	11
fieldflowers	2
fields	11
fiend	1
fierce	2
fiercely	1
fiery	5
fifteen	1
fifteenth	1
fifth	9
fifty	5
fig	1
fight	3
fighting	7
figure	4
fill	5
filled	9
filthy	1
finally	1
find	76
finding	6
fine	54
finely	1
finer	2
finest	5
finger	35
fingers	10
finish	4
finished	10
firapples	1
fire	70
fireplace	3
fires	1
fireside	2
firewood	1
firm	2
firmly	2
first	101
firtrees	1
fish	36
fished	1
fisherman	26
fishes	5
fishing	1
fishingline	1
fishpond	2
fit	4
fits	1
fitted	2
five	9
fix	1
fixed	4
flakes	1
flame	1
flames	7
flapping	1
flashed	2
flashing	1
flask	2
fled	2
flee	3
fleecy	1
flesh	6
flew	61
flies	7
fliesman	1
flight	2
fling	1
flings	1
float	1
floated	1
flock	10
flocks	1
floor	11
florins	2
flour	1
flow	2
flowed	1
flower	20
flowering	1
flowers	14
flown	3
flurry	1
flutter	1
fluttered	1
fluttering	2
fly	14
flying	9
flys	1
foam	2
foaming	1
foliage	1
folk	1
folks	4
follow	11
followed	26
followers	1
following	10
follows	1
folly	2
fond	10
font	1
food	27
fool	6
foolish	2
foolishly	1
fools	3
foot	19
footing	1
footplank	2
for	745
forbade	1
forbid	2
forbidden	2
force	3
forced	30
forefeet	1
foreign	1
forest	83
forester	6
forestthe	1
forestwe	1
foretell	2
foretold	2
forfeit	1
forfeited	1
forge	1
forget	6
forgets	1
forgetting	2
forgive	3
forgiven	1
forgot	11
forgotten	9
fork	2
forks	1
forlorn	1
form	11
formed	1
former	2
forms	4
forsake	2
forsaken	1
forth	35
forthwith	2
fortress	1
fortunately	2
fortune	12
fortunes	1
forward	10
forwards	6
foul	1
found	119
fountain	3
four	31
fourfooted	2
fourteen	1
fourth	4
fourthly	1
fowl	3
fowlers	1
fowls	8
fox	82
foxs	4
frame	1
frederick	25
free	35
freed	3
freeze	1
fresh	6
fretted	1
friend	33
friendly	7
friends	6
friendship	1
fright	5
frighten	1
frightened	29
frightful	1
frightfully	2
frock	6
frog	17
frogprince	1
frogs	3
frolic	1
frolickd	1
from	196
front	15
frontispiece	1
frozen	1
fruit	3
fruits	2
fry	2
fuel	3
fulfilled	8
full	52
fully	3
fun	2
fundevogel	13
funny	1
fur	10
furious	4
furnish	1
furnished	1
furniture	1
furrows	1
furs	1
furskin	1
further	9
fury	1
future	1
gaily	1
gain	1
gainall	1
gained	1
gains	1
gale	1
gallery	1
gallop	2
galloped	4
gallows	8
game	9
gang	1
gangest	3
gaping	2
garden	45
gardener	13
gardeners	6
gardens	2
garland	3
garret	1
gasping	2
gate	23
gates	2
gateway	2
gather	2
gathered	13
gave	109
gay	4
gaze	3
gazed	6
gazing	2
geese	12
general	1
gentle	4
gentleman	4
gently	5
german	1
get	122
gets	5
getting	9
ghost	2
giant	31
giants	16
gift	8
gifts	4
gilded	2
girdle	4
girl	58
girls	19
give	147
given	44
gives	1
giving	5
glad	19
gladness	3
glared	1
glass	32
glasses	5
glassmountain	3
glee	1
glimmer	1
glitter	1
glittered	6
glittering	4
gloom	2
gloomy	3
glove	1
gnat	2
gnaw	1
go	276
goat	8
goats	2
goblet	2
gocome	1
god	15
godchildren	1
godless	2
godmother	6
gods	1
goes	9
going	75
gold	89
golden	92
goldsmith	4
gone	67
gonebut	1
good	206
goodbye	28
goodfornothing	4
goodness	3
goods	7
goose	23
goosegirl	3
goosegrease	1
gore	1
gorged	1
gossip	2
got	109
gothel	2
gown	2
goyou	1
grace	1
gracious	3
graciously	1
gradually	1
grain	4
grand	4
grandfather	3
grandmother	23
grandmothers	3
grandson	2
granite	2
grant	7
granted	4
grasped	1
grass	6
grasshopper	2
grated	1
grateful	1
grave	8
gravely	1
grazed	1
grease	2
great	152
greater	4
greatest	5
greatly	9
greatness	1
greedily	1
greediness	2
greedy	3
green	14
greens	1
greenwood	5
greeted	1
greeting	1
grete	5
gretel	95
gretels	1
grew	34
grey	10
greybeard	1
greyhaired	1
grief	10
grieved	19
grieves	1
griffin	4
griffins	1
grim	2
grinder	5
grindstone	1
grinned	1
grislybeard	11
groaned	1
groom	3
groped	2
ground	38
grounds	1
grove	2
grovehast	1
grow	7
growing	4
growled	2
growler	2
growling	2
grown	10
grows	4
grumbling	3
grunted	1
guard	3
guarded	1
guarding	1
guards	7
gudgeons	2
guess	3
guest	17
guests	7
guide	1
guiltless	1
guilty	1
gulp	1
ha	3
habit	1
hack	3
had	839
hadst	3
hailing	1
hair	56
hairy	1
half	23
halfdone	4
halffrozen	1
halfhour	1
halfnaked	1
halfpence	1
halfshut	1
halfway	3
hall	5
halted	1
ham	1
hand	74
handed	3
handful	5
handkerchief	7
handling	1
hands	25
handsome	15
handsomely	1
handsomer	1
handsomest	1
hang	5
hanged	3
hangest	3
hanging	10
hangman	1
hangs	2
hans	122
hansel	45
hansels	1
happen	7
happened	51
happening	1
happens	4
happiest	1
happily	12
happiness	4
happy	25
hard	29
hardest	1
hardly	11
hare	3
hares	1
hark	5
harm	14
harmed	1
harness	3
harnessed	5
harshly	1
has	131
hast	2
haste	16
hasten	1
hastened	7
hastening	1
hastily	2
hasty	1
hat	13
hatched	1
hatchet	6
hatching	1
hate	1
hated	2
hath	7
haughtily	2
haughty	1
haunted	2
have	502
having	19
havoc	1
hawk	1
hay	9
haycart	2
hayloft	2
hazardous	1
hazel	1
hazelswitch	1
hazeltree	10
he	2088
head	117
heads	14
healed	1
healing	1
health	3
healthy	1
heap	6
heaped	1
hear	23
heard	111
hearing	9
hearken	7
hears	1
hearse	3
heart	70
hearth	8
heartily	5
hearts	6
hearty	2
heat	5
heated	3
heath	3
heaven	19
heavenborn	1
heavens	9
heavier	1
heaviest	1
heavily	2
heavy	26
hedge	5
heed	2
heel	2
heels	4
height	1
heinel	17
heinrich	1
heir	4
held	35
hell	1
helmet	1
help	45
